date,game_pk,away,home,away_name,home_name,away_sp_name,home_sp_name,p_home_win,pick,confidence,fair_ml_home,predicted_at,model,p_over_8_5,p_over_9_5,p_one_run,p_extras,p_home_by_1,p_away_by_1,p_home_win_and_over,p_away_win_and_over,p_both_score,p_margin_ge3,exp_total,home_win,correct
2026-07-20,824087,SFN,KCA,San Francisco Giants,Kansas City Royals,Trevor McDonald,Michael Wacha,0.5145279828739692,Kansas City Royals,0.5145279828739692,-106,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.5010833333333333,0.40525,0.2910833333333333,0.0958333333333333,0.1798333333333333,0.11125,0.2468333333333333,0.25425,0.866,0.5325833333333333,9.0835,1.0,1.0
2026-07-20,823762,NYN,MIL,New York Mets,Milwaukee Brewers,Freddy Peralta,Jacob Misiorowski,0.6331696264659548,Milwaukee Brewers,0.6331696264659548,-173,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.4948333333333333,0.3978333333333333,0.2863333333333333,0.0955,0.1844166666666666,0.1019166666666666,0.3165,0.1783333333333333,0.8623333333333333,0.5421666666666667,8.993166666666667,1.0,1.0
2026-07-20,824654,DET,CHN,Detroit Tigers,Chicago Cubs,Jack Flaherty,Jameson Taillon,0.5470554570696148,Chicago Cubs,0.5470554570696148,-121,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.49775,0.3995833333333333,0.2889166666666666,0.096,0.178,0.1109166666666666,0.2730833333333333,0.2246666666666666,0.8678333333333333,0.5365,9.06225,0.0,0.0
2026-07-20,822874,CHA,TEX,Chicago White Sox,Texas Rangers,Erick Fedde,Jacob deGrom,0.4729161590966355,Chicago White Sox,0.5270838409033645,111,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.4958333333333333,0.4015,0.2836666666666667,0.0905833333333333,0.1704166666666666,0.11325,0.2195,0.2763333333333333,0.8635833333333334,0.53925,9.05725,0.0,1.0
2026-07-20,824167,MIA,HOU,Miami Marlins,Houston Astros,Janson Junk,Ronel Blanco,0.488537210300392,Miami Marlins,0.511462789699608,105,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.5,0.4096666666666667,0.28475,0.0960833333333333,0.1746666666666666,0.1100833333333333,0.237,0.263,0.8645,0.5389166666666667,9.119333333333334,1.0,0.0
2026-07-20,824328,WAS,COL,Washington Nationals,Colorado Rockies,Andrew Alvarez,Kyle Freeland,0.4965027153523942,Washington Nationals,0.5034972846476058,101,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.5036666666666667,0.4008333333333333,0.2835833333333333,0.0943333333333333,0.1688333333333333,0.11475,0.2394166666666666,0.26425,0.8665833333333334,0.53825,9.056166666666666,0.0,1.0
2026-07-20,825058,OAK,AZ,Athletics,Arizona Diamondbacks,Jeffrey Springs,Mitch Bratt,0.6516941499263939,Arizona Diamondbacks,0.6516941499263939,-187,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.48925,0.396,0.2825,0.0885833333333333,0.1899166666666666,0.0925833333333333,0.3298333333333333,0.1594166666666666,0.8565833333333334,0.5573333333333333,8.9735,0.0,0.0
2026-07-20,823112,CIN,SEA,Cincinnati Reds,Seattle Mariners,Andrew Abbott,George Kirby,0.5844252709732712,Seattle Mariners,0.5844252709732712,-141,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.49475,0.4008333333333333,0.29075,0.0898333333333333,0.1838333333333333,0.1069166666666666,0.2870833333333333,0.2076666666666666,0.8643333333333333,0.53125,9.013166666666669,1.0,1.0
2026-07-20,824006,SLN,ANA,St. Louis Cardinals,Los Angeles Angels,Kyle Leahy,José Soriano,0.476193580296835,St. Louis Cardinals,0.5238064197031649,110,2026-07-31T07:20:31+00:00Z,ensemble_log_gbm_rf,0.49725,0.4010833333333333,0.28175,0.0934166666666666,0.1635833333333333,0.1181666666666666,0.222,0.27525,0.8655833333333334,0.5383333333333333,9.049416666666668,1.0,0.0
2026-07-31 00:00:00,824651,NYA,CHN,New York Yankees,Chicago Cubs,Will Warren,Shota Imanaga,0.5259290689650071,Chicago Cubs,0.5259290689650071,-111,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.492,0.3955,0.2955833333333333,0.10025,0.18233333333333332,0.11325,0.25783333333333336,0.23416666666666666,0.8708333333333333,0.53225,8.998583333333332,,
2026-07-31 00:00:00,824486,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,Paul Skenes,Hunter Greene,0.48385630546319297,Pittsburgh Pirates,0.516143694536807,107,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.4885833333333333,0.39458333333333334,0.293,0.09491666666666666,0.17216666666666666,0.12083333333333333,0.22891666666666666,0.25966666666666666,0.8674166666666666,0.5264166666666666,8.9945,,
2026-07-31 00:00:00,824809,PHI,BAL,Philadelphia Phillies,Baltimore Orioles,TBD,Brandon Young,0.5081185793178531,Baltimore Orioles,0.5081185793178531,-103,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.46366666666666667,0.36833333333333335,0.29775,0.10133333333333333,0.17666666666666667,0.12108333333333333,0.223,0.24066666666666667,0.8611666666666666,0.5184166666666666,8.673333333333334,,
2026-07-31 00:00:00,822782,SLN,TOR,St. Louis Cardinals,Toronto Blue Jays,Kyle Leahy,Dylan Cease,0.4652995089700487,St. Louis Cardinals,0.5347004910299513,115,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.4795833333333333,0.38316666666666666,0.2885,0.0955,0.17133333333333334,0.11716666666666667,0.21166666666666667,0.2679166666666667,0.8595,0.5295833333333333,8.859166666666667,,
2026-07-31 00:00:00,824407,AZ,CLE,Arizona Diamondbacks,Cleveland Guardians,Mitch Bratt,Tanner Bibee,0.49200109000138154,Arizona Diamondbacks,0.5079989099986184,103,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.46316666666666667,0.3665,0.30091666666666667,0.10083333333333333,0.17466666666666666,0.12625,0.21366666666666667,0.2495,0.8520833333333333,0.5223333333333333,8.67625,,
2026-07-31 00:00:00,822945,CHA,TBA,Chicago White Sox,Tampa Bay Rays,Erick Fedde,Nick Martinez,0.533888191639963,Tampa Bay Rays,0.533888191639963,-115,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.4575,0.3575833333333333,0.298,0.09675,0.18225,0.11575,0.2335,0.224,0.8496666666666667,0.5165833333333333,8.535416666666666,,
2026-07-31 00:00:00,823593,MIA,NYN,Miami Marlins,New York Mets,Janson Junk,Freddy Peralta,0.4913232202062141,Miami Marlins,0.5086767797937859,104,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.49733333333333335,0.4028333333333333,0.29033333333333333,0.10016666666666667,0.17458333333333334,0.11575,0.23525,0.26208333333333333,0.8705833333333334,0.5368333333333334,9.087916666666667,,
2026-07-31 00:00:00,824892,WAS,ATL,Washington Nationals,Atlanta Braves,Foster Griffin,Bryce Elder,0.6101694056861663,Atlanta Braves,0.6101694056861663,-157,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.5113333333333333,0.41941666666666666,0.28991666666666666,0.09233333333333334,0.18858333333333333,0.10133333333333333,0.30816666666666664,0.20316666666666666,0.8745,0.5423333333333333,9.286583333333333,,
2026-07-31 00:00:00,824164,TEX,HOU,Texas Rangers,Houston Astros,Nathan Eovaldi,Hunter Brown,0.48332846947426616,Texas Rangers,0.5166715305257339,107,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.49875,0.40258333333333335,0.286,0.0965,0.16783333333333333,0.11816666666666667,0.2325,0.26625,0.87,0.5391666666666667,9.076583333333334,,
2026-07-31 00:00:00,824325,KCA,COL,Kansas City Royals,Colorado Rockies,Michael Wacha,Tomoyuki Sugano,0.5215357921199204,Colorado Rockies,0.5215357921199204,-109,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.554,0.46291666666666664,0.27691666666666664,0.093,0.16808333333333333,0.10883333333333334,0.2813333333333333,0.27266666666666667,0.8873333333333333,0.5490833333333334,9.775333333333334,,
2026-07-31 00:00:00,823999,MIL,ANA,Milwaukee Brewers,Los Angeles Angels,Shane Drohan,Ryan Johnson,0.44545509522078025,Milwaukee Brewers,0.5545449047792197,124,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.48933333333333334,0.393,0.286,0.09458333333333334,0.16658333333333333,0.11941666666666667,0.20266666666666666,0.2866666666666667,0.86125,0.5419166666666667,8.990833333333333,,
2026-07-31 00:00:00,824975,DET,OAK,Detroit Tigers,Athletics,TBD,Jeffrey Springs,0.36509318622637393,Detroit Tigers,0.634906813773626,174,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.6338333333333334,0.54075,0.24133333333333334,0.08216666666666667,0.13875,0.10258333333333333,0.22691666666666666,0.40691666666666665,0.9020833333333333,0.60575,10.895833333333334,,
2026-07-31 00:00:00,823272,SFN,SDN,San Francisco Giants,San Diego Padres,Carson Whisenhunt,Bradgley Rodriguez,0.5119473953936923,San Diego Padres,0.5119473953936923,-105,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.4711666666666667,0.376,0.2965,0.09275,0.17466666666666666,0.12183333333333334,0.23191666666666666,0.23925,0.86025,0.5239166666666667,8.727583333333333,,
2026-07-31 00:00:00,823922,BOS,LAN,Boston Red Sox,Los Angeles Dodgers,Ranger Suarez,Edgardo Henriquez,0.5378005986802125,Los Angeles Dodgers,0.5378005986802125,-116,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.46758333333333335,0.37066666666666664,0.2955,0.09775,0.17608333333333334,0.11941666666666667,0.24466666666666667,0.22291666666666668,0.8575,0.5240833333333333,8.6705,,
2026-07-31 00:00:00,823111,MIN,SEA,Minnesota Twins,Seattle Mariners,Zebby Matthews,Bryce Miller,0.5431248269816358,Seattle Mariners,0.5431248269816358,-119,2026-07-31T16:05:09+00:00Z,ensemble_log_gbm_rf,0.48783333333333334,0.3928333333333333,0.29483333333333334,0.09025,0.18158333333333335,0.11325,0.26416666666666666,0.22366666666666668,0.8631666666666666,0.5299166666666667,8.923416666666666,,
